Ano;Veículo;Título;Autores;Número;Volume;Local;Página Inicial;Página Final
2016;SoSyM;Toward a well-founded theory for multi-level conceptual modeling;4332944687727590;1;1;;1;27
2016;CAISE;Engineering Requirements with Desiree: An Empirical Evaluation;5297252436860003;28;;Slovenia;221;238
2016;WWW;Applying a Multi-Level Modeling Theory to Assess Taxonomic Hierarchies in Wikidata;4332944687727590,5297252436860003;25;;Monteral;975;980
2016;ACM SAC;An Ontology Pattern Language for Service Modeling;5297252436860003,8826584877205264,9264617752964635;31;;Pisa;321;326
2016;EMMSAD;PoN-S: A Systematic Approach for Applying the Physics of Notation (PoN);5297252436860003,8826584877205264,9264617752964635;21;;Slovenia;432;447
2016;FOIS;Towards an Ontology of Requirements at Runtime;9264617752964635,2762374760685577,5297252436860003,1688136556728644;9;;Annecy;255;268
2016;BPM;Ontological Considerations about the Representation of Events and Endurants in Business Models;4332944687727590,5297252436860003;15;;Rio de Janeiro;20;36
2016;ISWC;Expressive Multi-Level Modeling for the Semantic Web;4332944687727590,5297252436860003;15;;Berlim;53;69
2016;RCIS;How Software Changes the World: The Role of Assumptions;5297252436860003;10;;Grenoble;1;12
2016;AI*IA;Relationships and Events: Towards a General Theory of Reification and Truthmaking;5297252436860003;15;;Genova;237;249
2016;QMMQ ;The Design of a Core Value Ontology using Ontology Patterns;5297252436860003;3;;Gifu;183;193
2016;ONTOBRAS ;Extending an Ontology Editor for Domain-related Ontology Patterns Reuse: An Application in the Collaboration Domain;5297252436860003,1688136556728644;5;;Curitiba;1;12
2016;CAISE;Using a Well-Founded Multi-Level Theory to Support the Analysis and Representation of the Powertype Pattern in Conceptual Modeling;4332944687727590,5297252436860003;28;;Slovenia;309;324
2016;EMMSAD;Representing Dynamic Invariants in Ontologically Well-Founded Conceptual Models;4332944687727590;21;;Slovenia;303;317
2016;EDOCW;Service Commitments and Capabilities across the ArchiMate Architectural Layers;4332944687727590,9264617752964635;20;;Vienna;1;10
2016;ONTOBRAS ;An Ontological Analysis of Capability Modeling in Defense Enterprise Architecture Frameworks;4332944687727590,5297252436860003;5;;Curitiba;1;12
2016;SBQS;Integrating Tools to Support Software Measurement.;8826584877205264,9264617752964635;15;;Maceió;317;331
2016;SBQS;An Ontology-Based Approach for Software Measurement Systems Integration;8826584877205264,9264617752964635;15;;Maceió;436;450
