Sigla;Nome;Tipo;Impacto;ISSN
SoSyM;Software & Systems Modeling;P;1,497;1619-1366
CAISE;Conference on Advanced Information Systems Engineering;C;22;
WWW;International World Wide Web Conference;C;74;
ACM SAC;ACM Symposium on Applied Computing;C;31;
EMMSAD;International Conference on Exploring Modeling Methods for Systems Analysis and Design;C;0;
FOIS;International Conference on Formal Ontology in Information Systems;C;0;
BPM; International Conference on Business Process Management;C;24;
ISWC;International Semantic Web Conference ;C;40;
RCIS; International Conference on Research Challenges in Information Science;C;12;
QMMQ ;International Workshop on Quality of Models and Models of Quality ;C;0;
ONTOBRAS ;Brazilian Symposium on Ontology Research;C;0;
EDOCW;International Enterprise Distributed Object Computing Workshop;C;0;
SBQS;Simpósio Brasileiro de Qualidade de Software;C;0;
EKAW;International Conference on Knowledge Engineering and Knowledge Management;C;0;
CIbSE;Ibero-American Conference of Software Engineering, Requirements Engineering Track;C;0;
SEAMS;International Workshop on Software Engineering for Adaptive and Self-Managing Systems;C;0;
Webmedia;Brazilian Symposium on Multimedia and the Web;C;7;
AI*IA;International Conference of the Italian Association for Artificial Intelligence;C;0;
REFSQ;Working Conference on Requirements Engineering: Foundations for Software Quality;C;15;
VMBO;International Workshop on Value Modeling and Business Ontologies;C;0;
ER;International Conference on Conceptual Modeling ;C;17;
EDOC;IEEE Enterprise Computing Conference;C;20;
FOFAI; International Workshop on Formal Ontologies for Artificial Intelligence;C;0;
ICAIL;International Conference on Artificial Intelligence and Law;C;0;
PoEM;IFIP WG 8.1 working conference on the Practice of Enterprise Modelling;C;0;
OXFORD;INFORMATION SYSTEMS (OXFORD);P;1,832;0306-4379
DKE;Data & Knowledge Engineering;P;1,5;0169-023X
AO;APPLIED ONTOLOGY (ONLINE);P;0,526;1875-8533
ACR;APPLIED COMPUTING REVIEW;P;0,75;1559-6915
CogSIMA; International InterDisciplinary Conference on Cognitive Methods in Situation Awareness and Decision Support;C;13;
iSys;Revista Brasileira de Sistemas de Informação;P;0;1984-2902
ICEIS;International Conference on Enterprise Information Systems;C;10;
SEKE;International Conference on Software Engineering and Knowledge Engineering;C;12;
WTDQS;Workshop de Teses e Dissertações em Qualidade de Software;C;0;
PROFES;International Conference on Product-Focused Software Process Improvement;C;11;
SEAA;Euromicro Conference on Software Engineering and Advanced Applications;C;15;
RBIE;Revista Brasileira de Informática na Educação;P;0;1414-5685
Impresa;Revista Iberoamericana de Educación;P;0;1022-6508
SBIE;Simpósio Brasileiro de Informática na Educação;C;14;
WIE;Workshop de Informática na Escola;C;7;
CBIE; Congresso Brasileiro de Informática na Educação;C;7;
PAEE; International  Symposium  on  Project  Approaches  in  Engineering  Education;C;0;
FIE;Frontier in Education;C;16;
SBSI; Brazilian Symposium on Information Systems;C;0;
SABTIC;Seminario Argentina-Brasil de Tecnologías de la Información y la Comunicación;C;0;
CINTED;Ciclo de Palestras de Novas Tecnologias na Educação;C;0;
SBGames; Simpósio Brasileiro de Jogos e Entretenimento Digital;C;0;
CMC;Concept Maps Conference;C;0;
TISE;Congreso Internacional de Informática Educativa;C;0;
DLC;DIÁLOGOS DE LA COMUNICACIÓN;P;0;1995-6630
RIA;Revista de Informática Aplicada;P;0;1809-5585
SBSC; Simpósio Brasileiro de Sistemas Colaborativos;C;0;
WAPSEDI;Workshop de Arquiteturas Pedagógicas para Suporte à Educação a Distância mediada pela Internet;C;0;
ICAI;International Conference on Artificial Intelligence;C;0;
IEEE;Revista IEEE América Latina;P;0;1548-0992
ITOR;International Transactions in Operational Research;P;0;1475-3995
CTB;Computer on The Beach ;C;0;
SBPO;Simpósio Brasileiro de Pesquisa Operacional;C;0;
ERI;Encontro Regional de Informática de Goiás;C;0;
IBM;IBM Journal of Research and Development;P;0;0018-8646
Web4All;Web for All Conference;C;0;
ENEGEP;Encontro Nacional de Engenharia de Produção;C;0;
ENMC;Encontro Nacional de Modelagem Computacional;C;0;
LACLO;Conferência Latino-Americana de Objetos e Tecnologias de Aprendizagem;C;6;
DocEng;ACM SIGWEB International Symposium on Document Engineering;C;14;
