Ano;Sigla Veículo;Veículo;Qualis;Fator de Impacto;Título;Docentes
2016;ACM SAC;ACM Symposium on Applied Computing;A1;31,000;An Ontology Pattern Language for Service Modeling;Seth Meyers,Maya Rudolph,Bill Hader
2016;ISWC;International Semantic Web Conference;A1;40,000;Expressive Multi-Level Modeling for the Semantic Web;Fred Armisen,Seth Meyers
2016;WWW;International World Wide Web Conference;A1;74,000;Applying a Multi-Level Modeling Theory to Assess Taxonomic Hierarchies in Wikidata;Fred Armisen,Seth Meyers
2015;ACM SAC;ACM Symposium on Applied Computing;A1;31,000;Towards an Ontology Pattern Language for Harmonizing Software Process related ISO Standards;Seth Meyers,Maya Rudolph,Bill Hader
2016;BPM;International Conference on Business Process Management;A2;24,000;Ontological Considerations about the Representation of Events and Endurants in Business Models;Fred Armisen,Seth Meyers
2016;CAISE;Conference on Advanced Information Systems Engineering;A2;22,000;Engineering Requirements with Desiree: An Empirical Evaluation;Seth Meyers
2016;CAISE;Conference on Advanced Information Systems Engineering;A2;22,000;Using a Well-Founded Multi-Level Theory to Support the Analysis and Representation of the Powertype Pattern in Conceptual Modeling;Fred Armisen,Seth Meyers
2015;CAISE;Conference on Advanced Information Systems Engineering;A2;22,000;Aligning Enterprise Architecture with Strategic Planning;Fred Armisen
2015;CAISE;Conference on Advanced Information Systems Engineering;A2;22,000;We need to Discuss the Relationship: Revisiting Relationships as Modeling Constructs;Seth Meyers
2015;DKE;Data & Knowledge Engineering;A2;1,500;Ontological anti-patterns: empirically uncovered error-prone structures in ontology-driven conceptual models;Seth Meyers
2015;EDOC;IEEE Enterprise Computing Conference;A2;20,000;A Semantic Foundation for Organizational Structures: A Multi-level Approach.;Fred Armisen
2015;EDOC;IEEE Enterprise Computing Conference;A2;20,000;OntoUML Lightweight Editor: A Model-Based Environment to Build, Evaluate and Implement Reference Ontologies.;Seth Meyers,Fred Armisen
2015;EDOC;IEEE Enterprise Computing Conference;A2;20,000;Towards Capturing Strategic Planning in EA;Fred Armisen
2015;ER;International Conference on Conceptual Modeling;A2;17,000;A Method to Align Goals and Business Processes;Amy Poehler
2015;ER;International Conference on Conceptual Modeling;A2;17,000;Capturing Variability in Adaptation Spaces: A Three-Peaks Approach;Kenan Thompson
2015;ER;International Conference on Conceptual Modeling;A2;17,000;Extending the Foundations of Ontology-based Conceptual Modeling with a Multi-Level Theory;Seth Meyers,Fred Armisen
2015;ER;International Conference on Conceptual Modeling;A2;17,000;Ontology Engineering by Combining Ontology Patterns;Seth Meyers,Bill Hader
2015;ER;International Conference on Conceptual Modeling;A2;17,000;Towards a Service Ontology Pattern Language;Seth Meyers,Maya Rudolph,Bill Hader
2015;OXFORD;INFORMATION SYSTEMS (OXFORD);A2;1,832;A commitment-based reference ontology for services.;Seth Meyers,Fred Armisen,Bill Hader
2015;OXFORD;INFORMATION SYSTEMS (OXFORD);A2;1,832;Modeling resources and capabilities in enterprise architecture: A well-founded ontology-based proposal for ArchiMate;Seth Meyers,Fred Armisen
2016;DocEng;ACM SIGWEB International Symposium on Document Engineering;B1;14,000;A Lightweight and Efficient Mechanism for Fixing the Synchronization of Misaligned Subtitle Documents;Jay Pharoah
2016;EKAW;International Conference on Knowledge Engineering and Knowledge Management;B1;0,000;SEON: A Software Engineering Ontology Network;Bill Hader,Maya Rudolph,Seth Meyers
2016;FIE;Frontier in Education;B1;16,000;Methodology and a technological framework to maximize learning in a development of serious games distance course and the evaluation of learning;Kristen Wiig
2016;FOIS;International Conference on Formal Ontology in Information Systems;B1;0,000;Towards an Ontology of Requirements at Runtime;Bill Hader,Kenan Thompson,Seth Meyers,Amy Poehler
2016;SoSyM;Software & Systems Modeling;B1;1,497;Toward a well-founded theory for multi-level conceptual modeling;Fred Armisen
2015;AO;APPLIED ONTOLOGY (ONLINE);B1;0,526;An ontology of online user feedback in software engineering;Amy Poehler
2015;AO;APPLIED ONTOLOGY (ONLINE);B1;0,526;Towards ontological foundations for conceptual modeling: The unified foundational ontology (UFO) story;Seth Meyers,Fred Armisen,Amy Poehler
2015;FIE;Frontier in Education;B1;16,000;Adaptation Resources in Virtual Learning Environments under Constructivist Approach: A Systematic Review;Kristen Wiig
2015;ICAIL;International Conference on Artificial Intelligence and Law;B1;0,000;Towards A Legal Core Ontology Based on Alexy?s Theory of Fundamental Rights;Seth Meyers,Fred Armisen
2015;ICEIS;International Conference on Enterprise Information Systems;B1;10,000;Metrics to Support IT Service Maturity Models: A Systematic Mapping;Maya Rudolph
2015;PROFES;International Conference on Product-Focused Software Process Improvement;B1;11,000;SINIS: A Method to Select Indicators for IT Services;Maya Rudolph
2015;SEAA;Euromicro Conference on Software Engineering and Advanced Applications;B1;15,000;Using the Findings of a Mapping Study to Conduct a Research Project: A Case in Knowledge Management in Software Testing;Bill Hader
2015;SEKE;International Conference on Software Engineering and Knowledge Engineering;B1;12,000;Integration of Software Measurement Supporting Tools: A Mapping Study;Maya Rudolph,Bill Hader
2016;SBIE;Simpósio Brasileiro de Informática na Educação;B2;14,000;Ambiente para Aprendizagem de Programação fundamentado em Arquiteturas Pedagógicas;Tina Fey
2016;SBIE;Simpósio Brasileiro de Informática na Educação;B2;14,000;EsCola ? Ambiente Educacional para Escrita Colaborativa;Kristen Wiig
2016;SBIE;Simpósio Brasileiro de Informática na Educação;B2;14,000;NaPontaDaLíngua: Um Aplicativo para Apoiar o Processo de Ensino-Aprendizagem da Língua Portuguesa;Jason Sudeikis
2016;SBIE;Simpósio Brasileiro de Informática na Educação;B2;14,000;Uma Plataforma de Serviços para Mapas Conceituais;Jason Sudeikis
2015;SBIE;Simpósio Brasileiro de Informática na Educação;B2;14,000;A multiplicidade de papéis e o suporte computacional às arquiteturas pedagógicas;Kristen Wiig
2015;SBIE;Simpósio Brasileiro de Informática na Educação;B2;14,000;AM: Uma Plataforma Digital para Criacao e Uso de Veículos de Comunicacao Locativos para Atividades Pedagogicas;Kristen Wiig,Tina Fey
2015;SBIE;Simpósio Brasileiro de Informática na Educação;B2;14,000;Apoio a mediação pedagógica em um Debate de Teses utilizando técnicas de processamento de texto;Kristen Wiig
2015;SBIE;Simpósio Brasileiro de Informática na Educação;B2;14,000;Explorando Arquiteturas Pedagógicas Recomendadas por meio de Agentes e Ontologia de Modelo do Aluno em Ambientes Virtuais de Aprendizagem;Kristen Wiig
2015;SBIE;Simpósio Brasileiro de Informática na Educação;B2;14,000;MVLIBRAS: ambiente digital para comunidades de aprendizagem com recursos inclusivos para surdos;Tina Fey
2017;RBIE;Revista Brasileira de Informática na Educação;B3;0,000;iMap & CMPaaS - De Ferramenta à Plataforma de Serviços para Mapas Conceituais;Kristen Wiig,Jason Sudeikis
2016;AI*IA;International Conference of the Italian Association for Artificial Intelligence;B3;0,000;Relationships and Events: Towards a General Theory of Reification and Truthmaking;Seth Meyers
2016;EDOCW;International Enterprise Distributed Object Computing Workshop;B3;0,000;Service Commitments and Capabilities across the ArchiMate Architectural Layers;Fred Armisen,Bill Hader
2016;SBQS;Simpósio Brasileiro de Qualidade de Software;B3;0,000;An Ontology-Based Approach for Software Measurement Systems Integration;Maya Rudolph,Bill Hader
2016;SBQS;Simpósio Brasileiro de Qualidade de Software;B3;0,000;Integrating Tools to Support Software Measurement.;Maya Rudolph,Bill Hader
2016;SBQS;Simpósio Brasileiro de Qualidade de Software;B3;0,000;Measures Suitable for SPC: A Systematic Mapping;Maya Rudolph
2016;SBQS;Simpósio Brasileiro de Qualidade de Software;B3;0,000;Semantic Documentation in Project Management. In: XV Simpósio Brasileiro de Qualidade de Software;Maya Rudolph,Bill Hader
2016;SEAMS;International Workshop on Software Engineering for Adaptive and Self-Managing Systems;B3;0,000;Model predictive control for software systems with CobRA;Kenan Thompson
2016;WIE;Workshop de Informática na Escola;B3;7,000;Aprendizagem colaborativa: desenvolvimento de Projetos de Aprendizagem em ambientes digitais;Kristen Wiig
2016;WIE;Workshop de Informática na Escola;B3;7,000;Projetos Maker como Forma de Estimular o Raciocínio Formal através do Pensamento Computacional;Kristen Wiig
2016;Webmedia;Brazilian Symposium on Multimedia and the Web;B3;7,000;A Framework-based Approach for the Integration of Web-based Information Systems on the Semantic Web;Kenan Thompson
