Ano;Veículo;Qualis
2016;SoSyM;B1
2012;CAISE;A2
2012;WWW;A1
2012;ACM SAC;A1
2012;EMMSAD;B4
2012;FOIS;B1
2012;BPM;A2
2012;ISWC;A1
2012;RCIS;B4
2012;AI*IA;B3
2012;QMMQ;C
2012;ONTOBRAS;C
2012;EDOCW;B3
2012;SBQS;B3
2012;EKAW;B1
2012;CIbSE;B4
2012;SEAMS;B3
2012;Webmedia;B3
2012;REFSQ;B3
2012;VMBO;C
2012;ER;A2
2012;EDOC;A2
2012;FOFAI;C
2012;ICAIL;B1
2012;PoEM;B4
2015;OXFORD;A2
2015;DKE;A2
2015;AO;B1
2015;ACR;B5
2012;CogSIMA;C
2015;iSys;B3
2012;ICEIS;B1
2012;SEKE;B1
2012;WTDQS;C
2012;PROFES;B1
2012;SEAA;B1
2015;RBIE;B3
2015;Impresa;C
2012;SBIE;B2
2012;WIE;B3
2012;CBIE;C
2012;PAEE;C
2012;FIE;B1
2012;SBSI;B4
2012;SABTIC;C
2012;CINTED;B5
2012;SBGames;B4
2012;CMC;B4
2012;LACLO;B5
2012;TISE;B4
2015;DLC;C
2012;SBSC;B4
2012;WAPSEDI;C
2012;ICAI;C
2012;IEEE;C
2012;ITOR;C
2012;CTB;C
2012;SBPO;B4
2012;ERI;C
2012;IBM;C
2012;Web4All;C
2012;ENEGEP;C
2015;RIA;C
2012;ENMC;C
2012;DocEng;B1
