Ano;Veículo;Qualis
2013;SSM;B1
2013;RSIFSMA;C
2013;APPLD;B1
2013;NC;A1
2013;IJERD;C
2013;IJNS;A1
2013;IJHCS;A1
2013;RBCA;B5
2013;RBRCSD;B5
2013;TEC;A1
2013;SBTPS;C
2013;SBPO;C
2013;CSBC;B3
2013;SBRCSD;B2
2013;SSCAD;B1
2013;LARS;B4
2013;ICDSMP;B3
2013;ICHSI;B2
2013;IWSC;B3
2013;ITW;C
2010;SSM;B1
2010;RSIFSMA;B5
2010;APPLD;B1
2010;NC;A1
2010;IJERD;B5
2010;IJNS;A1
2010;IJHCS;A1
2010;RBCA;B5
2010;RBRCSD;B4
2010;TEC;A1
2010;SBTPS;B5
2010;SBPO;B4
2010;CSBC;B2
2010;SBRCSD;B2
2010;SSCAD;B3
2010;LARS;B4
2010;ICDSMP;B3
2010;ICHSI;B2
2010;IWSC;B5
2010;ITW;C
2018;SSM;B1
2018;RSIFSMA;C
2018;APPLD;B1
2018;NC;A1
2018;IJERD;C
2018;IJNS;A1
2018;IJHCS;B1
2018;RBCA;C
2018;RBRCSD;C
2018;TEC;A1
2018;SBTPS;B5
2018;SBPO;C
2018;CSBC;B3
2018;SBRCSD;B2
2018;SSCAD;B1
2018;LARS;B4
2018;ICDSMP;B3
2018;ICHSI;B2
2018;IWSC;B2
2018;ITW;C
