Sigla;Nome;Tipo;Impacto;ISSN
SSM;SOFTWARE AND SYSTEMS MODELING;P;1,497;1619-1366
RSIFSMA;REVISTA DE SISTEMA DE INFORMAÇÃO DA FSMA;P;22;1963-5605
APPLD;APPLIED ARTIFICIAL INTELLIGENCE;P;74;0883-9514
NC;NEURAL COMPUTATION;C;31;0899-7667
IJERD;INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH AND DEVELOPMENT;P;0;2278-067X
IJNS;INTERNATIONAL JOURNAL OF NEURAL SYSTEMS;P;0;0129-0657
IJHCS; INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES (PRINT);P;24;1071-5819
RBCA;REVISTA BRASILEIRA DE COMPUTAÇÃO APLICADA ;P;40;2176-6649
RBRCSD; REVISTA BRASILEIRA DE REDES DE COMPUTADORES E SISTEMAS DISTRIBUÍDOS;P;12;1983-4217
TEC ;IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION;P;0;1089-778X
SBTPS ;Simpósio Brasileiro de Telecomunicações e Processamento de Sinais;C;0;
SBPO;Simpósio Brasileiro de Pesquisa Operacional;C;0;
CSBC;Congresso da Sociedade Brasileira de Computação;C;0;
SBRCSD;Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos;C;0;
SSCAD;Simpósio em Sistemas Computacionais de Alto Desempenho;C;0;
LARS;Latin American Robotics Symposium;C;0;
ICDSMP;International Conference on Data Stream Mining & Processing;C;7;
ICHSI;International Conference on Human System Interactions;C;0;
IWSC;IEEE International Workshop on Software Cybernetics;C;15;
ITW;IEEE Information Theory Workshop;C;0;
